published_date,close
2022-06-20,285.488
2022-06-21,294.432
2022-06-22,286.968
2022-06-23,274.94
2022-06-24,281.24
2022-06-26,305.45599999999996
2022-06-27,296.64799999999997
2022-06-28,291.01599999999996
2022-06-29,304.496
2022-06-30,318.744
2022-07-01,313.608
2022-07-03,327.86800000000005
2022-07-04,316.024
2022-07-05,310.692
2022-07-06,314.348
2022-07-07,310.84
2022-07-08,302.772
2022-07-11,285.052
2022-07-12,288.68
2022-07-13,304.796
2022-07-14,306.524
2022-07-15,303.176
2022-07-17,303.64799999999997
2022-07-18,301.348
2022-07-19,302.95599999999996
2022-07-20,302.5
2022-07-21,299.22
2022-07-22,293.568
2022-07-24,307.12399999999997
2022-07-25,322.752
2022-07-26,317.596
2022-07-27,328.392
2022-07-28,331.72
2022-07-29,331.124
2022-07-31,334.292
2022-08-01,337.168
2022-08-02,338.07599999999996
2022-08-03,344.064
2022-08-04,335.24800000000005
2022-08-05,330.10400000000004
2022-08-07,333.336
2022-08-08,329.62
2022-08-09,319.284
2022-08-10,317.36
2022-08-11,312.844
2022-08-14,307.116
2022-08-15,323.964
2022-08-16,313.69599999999997
2022-08-17,314.256
2022-08-18,322.256
2022-08-21,318.872
2022-08-22,317.288
2022-08-23,315.60400000000004
2022-08-24,317.264
2022-08-25,310.892
2022-08-26,305.432
2022-08-28,286.532
2022-08-29,288.072
2022-08-30,286.168
2022-08-31,279.036
2022-09-01,280.5
2022-09-02,279.96
2022-09-04,281.4
2022-09-05,279.91200000000003
2022-09-06,273.86
2022-09-07,270.992
2022-09-08,274.168
2022-09-11,269.932
2022-09-12,266.356
2022-09-13,269.168
2022-09-14,280.12
2022-09-15,266.108
2022-09-16,262.07599999999996
2022-09-18,253.76
2022-09-20,243.62400000000002
2022-09-21,246.012
2022-09-22,244.06
2022-09-25,236.98
2022-09-27,240.128
2022-09-28,239.268
2022-09-29,239.5
2022-10-09,247.748
2022-10-10,242.38400000000001
2022-10-11,240.2
2022-10-12,243.172
2022-10-13,242.55599999999998
2022-10-16,239.428
2022-10-17,237.31599999999997
2022-10-19,232.908
2022-10-20,231.94
2022-10-23,233.66
2022-10-31,234.72
2022-11-01,247.524
2022-11-02,250.21599999999998
2022-11-03,246.99200000000002
2022-11-06,254.77200000000002
2022-11-07,252.868
2022-11-08,251.268
2022-11-09,242.524
2022-11-10,236.916
2022-11-13,234.64
2022-11-14,239.584
2022-11-15,237.388
2022-11-16,240.628
2022-11-17,249.42
2022-11-22,247.44400000000002
2022-11-23,245.644
2022-11-24,248.628
2022-11-27,254.66
2022-11-28,251.43599999999998
2022-11-29,251.764
2022-11-30,250.548
2022-12-01,251.108
2022-12-04,251.02
2022-12-05,245.976
2022-12-06,244.9
2022-12-07,242.588
2022-12-11,238.512
2022-12-12,242.48
2022-12-13,242.8
2022-12-14,242.752
2022-12-15,238.66
2022-12-18,232.58
2022-12-19,233.06400000000002
2022-12-20,235.38400000000001
2022-12-21,232.72
2022-12-22,233.016
2022-12-26,243.25833333333333
2022-12-27,257.736
2022-12-28,255.532
2022-12-29,269.316
2023-01-01,269.436
2023-01-02,274.44
2023-01-03,273.12
2023-01-04,286.592
2023-01-05,289.72
2023-01-08,295.368
2023-01-09,313.808
2023-01-10,313.684
2023-01-12,301.86
2023-01-17,315.348
2023-01-18,317.156
2023-01-19,317.124
2023-01-23,309.07599999999996
2023-01-24,310.744
2023-01-25,316.62
2023-01-26,321.44
2023-01-29,318.812
2023-01-30,308.432
2023-01-31,306.74
2023-02-01,307.592
2023-02-02,301.616
2023-02-05,301.79200000000003
2023-02-06,302.672
2023-02-07,321.908
2023-02-08,319.344
2023-02-09,323.54
2023-02-12,308.488
2023-02-14,307.232
2023-02-15,305.332
2023-02-16,298.748
2023-02-20,297.04400000000004
2023-02-22,309.632
2023-02-23,302.57599999999996
2023-02-26,304.624
2023-02-27,302.976
2023-02-28,304.66
2023-03-01,300.332
2023-03-02,295.91200000000003
2023-03-05,290.30400000000003
